C,MaxIter_SLS,Batch_SLS,mu_SLS,K1,K2,MaxIter_Softmax,Batch_Softmax,mu_Softmax,Fscore,Tiempo
10,50,32,0.1,40,12,2500,128,0.0001,0.9489031780053452,1.685892105102539
10,50,32,0.1,40,12,2500,256,0.1,0.9698001662745376,1.5058519840240479
10,50,32,0.1,40,12,2500,256,0.05,0.9781986064207242,1.4935712814331055
10,50,32,0.1,40,12,2500,256,0.01,0.973855092276145,1.4988813400268555
10,50,32,0.1,40,12,2500,256,0.001,0.9694989106753812,1.478971004486084
10,50,32,0.1,40,12,2500,256,0.0001,0.922067862147114,1.4780468940734863
10,50,32,0.1,40,10,2500,32,0.1,0.9871733254705392,2.6204326152801514
10,50,32,0.1,40,10,2500,32,0.05,0.98287926135597,2.664400815963745
10,50,32,0.1,40,10,2500,32,0.01,0.961518647635765,2.6487679481506348
10,50,32,0.1,40,10,2500,32,0.001,0.98257006151743,2.6512250900268555
10,50,32,0.1,40,10,2500,32,0.0001,0.960723912206392,2.6333179473876953
10,50,32,0.1,40,10,2500,64,0.1,0.9656377097393432,1.9926161766052246
10,50,32,0.1,40,10,2500,64,0.05,0.9825641025641024,1.974717378616333
10,50,32,0.1,40,10,2500,64,0.01,0.9788353951232908,1.995485782623291
10,50,32,0.1,40,10,2500,64,0.001,0.973855092276145,1.9775676727294922
10,50,32,0.1,40,10,2500,64,0.0001,0.9610241295833416,1.973310947418213
10,50,32,0.1,40,10,2500,128,0.1,0.9825641025641024,1.6452102661132812
10,50,32,0.1,40,10,2500,128,0.05,0.9651282051282052,1.6441657543182373
10,50,32,0.1,40,10,2500,128,0.01,0.9657596585381164,1.6372625827789307
10,50,32,0.1,40,10,2500,128,0.001,0.973855092276145,1.6597082614898682
10,50,32,0.1,40,10,2500,128,0.0001,0.944683229630937,1.6570494174957275
10,50,32,0.1,40,10,2500,256,0.1,0.9825641025641024,1.4705042839050293
10,50,32,0.1,40,10,2500,256,0.05,0.9695639943741212,1.4471185207366943
10,50,32,0.1,40,10,2500,256,0.01,0.9740092165898616,1.4627606868743896
10,50,32,0.1,40,10,2500,256,0.001,0.9747134208933868,1.463609218597412
10,50,32,0.1,40,10,2500,256,0.0001,0.956922740498058,1.4402897357940674
10,50,32,0.1,40,9,2500,32,0.1,0.9655702917771884,2.6447978019714355
10,50,32,0.1,40,9,2500,32,0.05,0.9611745193675968,2.613487720489502
10,50,32,0.1,40,9,2500,32,0.01,0.956788554455316,2.619236707687378
10,50,32,0.1,40,9,2500,32,0.001,0.978209784234138,2.706374168395996
10,50,32,0.1,40,9,2500,32,0.0001,0.978209784234138,2.6550097465515137
10,50,32,0.1,40,9,2500,64,0.1,0.9915655641599198,1.9726512432098389
10,50,32,0.1,40,9,2500,64,0.05,0.9654334441949036,2.0010952949523926
10,50,32,0.1,40,9,2500,64,0.01,0.9869281045751634,1.9427742958068848
10,50,32,0.1,40,9,2500,64,0.001,0.9738282586383852,1.9727098941802979
10,50,32,0.1,40,9,2500,64,0.0001,0.97419295855202,1.9891645908355713
10,50,32,0.1,40,9,2500,128,0.1,0.98257006151743,1.6430881023406982
10,50,32,0.1,40,9,2500,128,0.05,0.9783625472216076,1.6575145721435547
10,50,32,0.1,40,9,2500,128,0.01,0.9827547363031234,1.6568396091461182
10,50,32,0.1,40,9,2500,128,0.001,0.9869258705404828,1.6870129108428955
